Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
QEP,8.53,Put,8.00,03/15/19,67,0.25,0.45,0.65,0.55,20073,197,101.89,57.26%,01/07/19
QCOM,56.44,Call,50.00,03/15/19,67,7.40,7.5,7.60,7.70,7593,134,56.66,36.65%,01/07/19
WETF,6.6,Call,8.00,03/15/19,67,0.15,0.18,0.20,0.16,12405,255,48.65,49.60%,01/07/19
ENDP,9.17,Call,9.00,04/18/19,101,1.40,1.6,1.80,1.50,15234,318,47.91,72.84%,01/07/19
TIF,85.9,Put,70.00,05/17/19,130,1.74,1.77,1.80,1.78,8681,185,46.92,39.55%,01/07/19
AABA,59.64,Put,57.50,02/15/19,39,1.70,1.97,2.24,1.90,5018,124,40.47,38.26%,01/07/19
MT,21.56,Put,25.00,01/17/20,375,5.00,5.1,5.20,5.10,5000,126,39.68,39.16%,01/07/19
JNJ,127.01,Call,140.00,03/15/19,67,0.91,0.94,0.97,0.92,16279,455,35.78,20.73%,01/07/19
CMCSA,35.43,Call,36.00,01/11/19,4,0.21,0.23,0.25,0.24,5130,144,35.63,31.32%,01/07/19
NVDA,143.4,Call,148.00,01/11/19,4,2.05,2.06,2.07,2.04,10203,373,27.35,64.13%,01/07/19
NFLX,315.34,Put,300.00,01/11/19,4,2.79,2.86,2.93,2.83,7703,348,22.14,65.28%,01/07/19
USB,46.61,Put,46.00,01/11/19,4,0.29,0.31,0.32,0.28,3068,142,21.61,27.70%,01/07/19
SPOT,119.36,Call,140.00,04/18/19,101,6.20,6.5,6.80,6.53,2089,102,20.48,52.67%,01/07/19
AMD,20.57,Call,20.00,03/15/19,67,2.91,2.95,2.99,2.96,13708,793,17.29,75.71%,01/07/19
CIM,18.16,Call,19.00,02/15/19,39,0.10,0.18,0.25,0.20,2549,152,16.77,20.48%,01/07/19
DAL,47.85,Put,47.50,01/18/19,11,1.16,1.2,1.24,1.09,3040,189,16.08,38.69%,01/07/19
DIS,110.56,Call,115.00,01/25/19,18,0.45,0.53,0.60,0.49,3370,211,15.97,19.17%,01/07/19
CLF,8.73,Call,8.00,04/18/19,101,1.44,1.49,1.53,1.40,10030,634,15.82,54.53%,01/07/19
AMD,20.57,Call,23.50,01/18/19,11,0.24,0.25,0.26,0.26,4200,273,15.38,78.14%,01/07/19
PBR,15.06,Call,18.00,02/15/19,39,0.14,0.16,0.17,0.14,4610,305,15.11,45.19%,01/07/19
JCP,1.28,Call,1.50,01/11/19,4,0.00,0.01,0.02,0.02,4997,341,14.65,156.17%,01/07/19
HCLP,3.66,Call,5.00,02/15/19,39,0.15,0.2,0.25,0.15,2563,178,14.4,106.09%,01/07/19
SQ,60.72,Call,75.00,02/15/19,39,0.80,0.83,0.85,0.82,2791,194,14.39,56.76%,01/07/19
NVDA,143.4,Put,144.00,01/11/19,4,4.00,4.13,4.25,4.11,1506,105,14.34,63.79%,01/07/19
AMD,20.57,Put,19.50,01/18/19,11,0.64,0.66,0.67,0.66,2363,165,14.32,80.90%,01/07/19
AMZN,1629.51,Call,1625.00,01/11/19,4,31.50,32.98,34.45,32.60,1515,106,14.29,44.17%,01/07/19
PBR,15.06,Put,15.00,01/11/19,4,0.27,0.29,0.30,0.30,1775,127,13.98,52.82%,01/07/19
IPI,2.96,Call,3.00,06/21/19,165,0.45,0.5,0.55,0.50,4164,299,13.93,63.45%,01/07/19
BHC,22.36,Call,24.00,01/11/19,4,0.13,0.15,0.17,0.15,5064,368,13.76,69.66%,01/07/19
GOOGL,1075.92,Call,1100.00,01/11/19,4,5.50,5.75,6.00,5.80,5279,384,13.75,32.40%,01/07/19
RCL,101.83,Call,125.00,03/15/19,67,0.72,0.81,0.89,0.85,4018,297,13.53,36.60%,01/07/19
DRI,103.94,Put,90.00,01/18/19,11,0.25,0.33,0.40,0.30,3000,225,13.33,56.84%,01/07/19
AMZN,1629.51,Call,1680.00,01/11/19,4,10.60,11.03,11.45,11.05,2956,223,13.26,42.77%,01/07/19
JPM,100.76,Put,98.00,01/11/19,4,0.36,0.38,0.40,0.35,3344,261,12.81,31.19%,01/07/19
AMZN,1629.51,Put,1620.00,01/11/19,4,25.05,25.53,26.00,25.45,1408,110,12.8,44.52%,01/07/19
ROKU,42.18,Call,40.00,01/11/19,4,3.00,3.13,3.25,3.10,3685,291,12.66,104.65%,01/07/19
BHC,22.36,Call,25.00,01/11/19,4,0.04,0.06,0.08,0.05,1573,129,12.19,70.43%,01/07/19
GPS,26.57,Call,23.00,01/18/19,11,3.55,3.63,3.70,3.90,1810,149,12.15,84.69%,01/07/19
AMZN,1629.51,Put,1600.00,01/11/19,4,17.50,17.9,18.30,17.72,3472,290,11.97,45.10%,01/07/19
SQ,60.72,Put,57.00,01/11/19,4,0.50,0.53,0.55,0.52,2810,238,11.81,73.53%,01/07/19
MU,34,Put,34.00,02/15/19,39,2.24,2.25,2.26,2.25,4821,414,11.64,52.10%,01/07/19
