Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Time
QEP,8.53,Put,8,3/15/2019,67,0.25,0.45,0.65,0.55,20073,197,101.89,57.26%,1/7/2019
QCOM,56.44,Call,50,3/15/2019,67,7.4,7.5,7.6,7.7,7593,134,56.66,36.65%,1/7/2019
WETF,6.6,Call,8,3/15/2019,67,0.15,0.18,0.2,0.16,12405,255,48.65,49.60%,1/7/2019
ENDP,9.17,Call,9,4/18/2019,101,1.4,1.6,1.8,1.5,15234,318,47.91,72.84%,1/7/2019
TIF,85.9,Put,70,5/17/2019,130,1.74,1.77,1.8,1.78,8681,185,46.92,39.55%,1/7/2019
AABA,59.64,Put,57.5,2/15/2019,39,1.7,1.97,2.24,1.9,5018,124,40.47,38.26%,1/7/2019
MT,21.56,Put,25,1/17/2020,375,5,5.1,5.2,5.1,5000,126,39.68,39.16%,1/7/2019
JNJ,127.01,Call,140,3/15/2019,67,0.91,0.94,0.97,0.92,16279,455,35.78,20.73%,1/7/2019
CMCSA,35.43,Call,36,1/11/2019,4,0.21,0.23,0.25,0.24,5130,144,35.63,31.32%,1/7/2019
NVDA,143.4,Call,148,1/11/2019,4,2.05,2.06,2.07,2.04,10203,373,27.35,64.13%,1/7/2019
NFLX,315.34,Put,300,1/11/2019,4,2.79,2.86,2.93,2.83,7703,348,22.14,65.28%,1/7/2019
USB,46.61,Put,46,1/11/2019,4,0.29,0.31,0.32,0.28,3068,142,21.61,27.70%,1/7/2019
SPOT,119.36,Call,140,4/18/2019,101,6.2,6.5,6.8,6.53,2089,102,20.48,52.67%,1/7/2019
AMD,20.57,Call,20,3/15/2019,67,2.91,2.95,2.99,2.96,13708,793,17.29,75.71%,1/7/2019
CIM,18.16,Call,19,2/15/2019,39,0.1,0.18,0.25,0.2,2549,152,16.77,20.48%,1/7/2019
DAL,47.85,Put,47.5,1/18/2019,11,1.16,1.2,1.24,1.09,3040,189,16.08,38.69%,1/7/2019
DIS,110.56,Call,115,1/25/2019,18,0.45,0.53,0.6,0.49,3370,211,15.97,19.17%,1/7/2019
CLF,8.73,Call,8,4/18/2019,101,1.44,1.49,1.53,1.4,10030,634,15.82,54.53%,1/7/2019
AMD,20.57,Call,23.5,1/18/2019,11,0.24,0.25,0.26,0.26,4200,273,15.38,78.14%,1/7/2019
PBR,15.06,Call,18,2/15/2019,39,0.14,0.16,0.17,0.14,4610,305,15.11,45.19%,1/7/2019
JCP,1.28,Call,1.5,1/11/2019,4,0,0.01,0.02,0.02,4997,341,14.65,156.17%,1/7/2019
HCLP,3.66,Call,5,2/15/2019,39,0.15,0.2,0.25,0.15,2563,178,14.4,106.09%,1/7/2019
SQ,60.72,Call,75,2/15/2019,39,0.8,0.83,0.85,0.82,2791,194,14.39,56.76%,1/7/2019
NVDA,143.4,Put,144,1/11/2019,4,4,4.13,4.25,4.11,1506,105,14.34,63.79%,1/7/2019
AMD,20.57,Put,19.5,1/18/2019,11,0.64,0.66,0.67,0.66,2363,165,14.32,80.90%,1/7/2019
AMZN,1629.51,Call,1625,1/11/2019,4,31.5,32.98,34.45,32.6,1515,106,14.29,44.17%,1/7/2019
PBR,15.06,Put,15,1/11/2019,4,0.27,0.29,0.3,0.3,1775,127,13.98,52.82%,1/7/2019
IPI,2.96,Call,3,6/21/2019,165,0.45,0.5,0.55,0.5,4164,299,13.93,63.45%,1/7/2019
BHC,22.36,Call,24,1/11/2019,4,0.13,0.15,0.17,0.15,5064,368,13.76,69.66%,1/7/2019
GOOGL,1075.92,Call,1100,1/11/2019,4,5.5,5.75,6,5.8,5279,384,13.75,32.40%,1/7/2019
RCL,101.83,Call,125,3/15/2019,67,0.72,0.81,0.89,0.85,4018,297,13.53,36.60%,1/7/2019
DRI,103.94,Put,90,1/18/2019,11,0.25,0.33,0.4,0.3,3000,225,13.33,56.84%,1/7/2019
AMZN,1629.51,Call,1680,1/11/2019,4,10.6,11.03,11.45,11.05,2956,223,13.26,42.77%,1/7/2019
JPM,100.76,Put,98,1/11/2019,4,0.36,0.38,0.4,0.35,3344,261,12.81,31.19%,1/7/2019
AMZN,1629.51,Put,1620,1/11/2019,4,25.05,25.53,26,25.45,1408,110,12.8,44.52%,1/7/2019
ROKU,42.18,Call,40,1/11/2019,4,3,3.13,3.25,3.1,3685,291,12.66,104.65%,1/7/2019
BHC,22.36,Call,25,1/11/2019,4,0.04,0.06,0.08,0.05,1573,129,12.19,70.43%,1/7/2019
GPS,26.57,Call,23,1/18/2019,11,3.55,3.63,3.7,3.9,1810,149,12.15,84.69%,1/7/2019
AMZN,1629.51,Put,1600,1/11/2019,4,17.5,17.9,18.3,17.72,3472,290,11.97,45.10%,1/7/2019
SQ,60.72,Put,57,1/11/2019,4,0.5,0.53,0.55,0.52,2810,238,11.81,73.53%,1/7/2019
MU,34,Put,34,2/15/2019,39,2.24,2.25,2.26,2.25,4821,414,11.64,52.10%,1/7/2019
AMD,20.57,Put,21.5,1/11/2019,4,1.36,1.38,1.4,1.39,1156,100,11.56,96.83%,1/7/2019
NFLX,315.34,Call,340,1/11/2019,4,1.53,1.62,1.7,1.65,3644,317,11.5,66.68%,1/7/2019
X,20.45,Put,21,1/11/2019,4,0.82,0.86,0.9,0.8,1156,103,11.22,55.52%,1/7/2019
NFLX,315.34,Call,330,1/11/2019,4,3.15,3.18,3.2,3.16,6301,562,11.21,63.36%,1/7/2019
GE,8.74,Put,7,2/8/2019,32,0.13,0.14,0.14,0.13,4528,415,10.91,73.00%,1/7/2019
MDB,85.7,Put,85,1/18/2019,11,4.3,4.65,5,4.6,2045,191,10.71,84.34%,1/7/2019
DAL,47.85,Call,47.5,1/18/2019,11,1.54,1.58,1.62,1.59,3212,303,10.6,41.97%,1/7/2019
BHC,22.36,Put,15,4/18/2019,101,0.38,0.41,0.44,0.4,1396,134,10.42,67.50%,1/7/2019
NFLX,315.34,Call,345,1/11/2019,4,1.11,1.19,1.26,1.2,1351,131,10.31,68.53%,1/7/2019
CZR,7.16,Call,8,6/21/2019,165,0.96,1.01,1.05,0.93,5000,489,10.22,63.07%,1/7/2019
CP,184.15,Call,185,1/18/2019,11,3,3.25,3.5,3.5,2501,247,10.13,30.00%,1/7/2019
NFLX,315.34,Put,297.5,1/11/2019,4,2.1,2.5,2.89,2.48,1017,101,10.07,67.60%,1/7/2019
PEGI,19.78,Call,20,1/18/2019,11,0.35,0.43,0.5,0.4,3386,346,9.79,35.92%,1/7/2019
USFD,33.16,Put,30,2/15/2019,39,0.35,0.53,0.7,0.6,1875,192,9.77,43.17%,1/7/2019
AMZN,1629.51,Call,1720,1/11/2019,4,4,4.33,4.65,4.47,1063,110,9.66,43.54%,1/7/2019
SQ,60.72,Put,60,1/11/2019,4,1.33,1.36,1.38,1.37,3206,334,9.6,68.04%,1/7/2019
AMZN,1629.51,Call,1670,1/11/2019,4,13.1,13.65,14.2,13.6,987,103,9.58,42.61%,1/7/2019
TLRY,71.9,Put,40,6/21/2019,165,5.6,6.48,7.35,6.05,1001,105,9.53,126.04%,1/7/2019
DAL,47.85,Call,50.5,1/11/2019,4,0.07,0.08,0.09,0.08,1066,112,9.52,37.94%,1/7/2019
