Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
AMD,20.75,Put,18.50,02/01/19,24,0.77,0.94,1.10,0.99,9608,116,82.83,96.10%,01/08/19
CWEN,15.98,Call,17.50,05/17/19,129,0.55,0.6,0.65,0.60,10034,122,82.25,29.08%,01/08/19
M,30.83,Call,34.00,01/11/19,3,0.12,0.14,0.15,0.13,10278,179,57.42,86.55%,01/08/19
CBL,2.25,Put,2.50,03/15/19,66,0.50,0.55,0.60,0.55,25017,444,56.34,105.82%,01/08/19
DVN,25.55,Call,28.00,04/18/19,100,1.51,1.53,1.54,1.53,22161,405,54.72,44.75%,01/08/19
BBBY,11.78,Put,9.00,01/18/19,10,0.12,0.15,0.18,0.15,5351,114,46.94,142.02%,01/08/19
BAC,25.51,Call,28.00,02/01/19,24,0.08,0.09,0.10,0.10,4502,122,36.9,28.57%,01/08/19
TEVA,17.68,Put,17.00,02/08/19,31,0.64,0.68,0.71,0.65,6660,193,34.51,48.17%,01/08/19
NVAX,2.3,Put,0.50,04/18/19,100,0.00,0.1,0.20,0.05,5000,149,33.56,224.34%,01/08/19
PCG,17.56,Put,8.00,06/21/19,164,1.15,1.28,1.40,1.30,6269,188,33.35,148.39%,01/08/19
SBUX,63.62,Call,67.50,03/15/19,66,1.04,1.08,1.12,1.18,10501,322,32.61,23.13%,01/08/19
GPS,25.22,Put,26.00,03/15/19,66,2.20,2.26,2.32,2.26,5108,168,30.4,44.46%,01/08/19
CZR,7.49,Call,8.50,02/01/19,24,0.15,0.21,0.27,0.21,10032,357,28.1,70.61%,01/08/19
WFC,47.54,Put,43.50,01/18/19,10,0.17,0.18,0.19,0.20,10943,506,21.63,45.78%,01/08/19
TLRY,83.26,Call,85.00,02/15/19,38,3.55,4.73,5.90,5.40,2135,101,21.14,56.58%,01/08/19
AMZN,1656.58,Put,1640.00,01/11/19,3,17.50,17.73,17.95,17.80,2081,100,20.81,42.60%,01/08/19
MNK,18.98,Put,17.50,01/17/20,374,3.30,3.5,3.70,3.60,4136,200,20.68,63.60%,01/08/19
FB,142.53,Put,141.00,01/11/19,3,1.29,1.32,1.35,1.31,6849,360,19.03,38.93%,01/08/19
FB,142.53,Put,142.00,01/11/19,3,1.68,1.72,1.76,1.73,6066,328,18.49,38.87%,01/08/19
M,30.83,Call,32.00,01/11/19,3,0.50,0.55,0.59,0.56,22382,1225,18.27,91.52%,01/08/19
FEYE,16.61,Call,20.00,02/15/19,38,0.28,0.3,0.31,0.29,2022,114,17.74,57.57%,01/08/19
PGR,60.73,Call,65.00,02/15/19,38,0.55,0.58,0.60,0.58,4295,264,16.27,24.59%,01/08/19
KR,28.46,Call,28.50,01/18/19,10,0.52,0.56,0.60,0.60,2560,165,15.52,32.36%,01/08/19
NFLX,320.27,Put,325.00,01/11/19,3,8.75,8.98,9.20,9.05,1528,100,15.28,55.38%,01/08/19
AMD,20.75,Call,20.00,02/08/19,31,2.40,2.47,2.53,2.47,2769,183,15.13,86.67%,01/08/19
NFLX,320.27,Put,320.00,01/11/19,3,6.30,6.35,6.40,6.30,2768,184,15.04,55.92%,01/08/19
TJX,47.31,Call,52.50,01/17/20,374,2.80,2.95,3.10,2.93,1501,101,14.86,22.78%,01/08/19
WDC,38.11,Put,37.50,01/11/19,3,0.46,0.49,0.51,0.46,1872,130,14.4,53.26%,01/08/19
LNG,64.37,Call,65.00,01/11/19,3,0.65,0.76,0.86,0.66,2964,207,14.32,39.98%,01/08/19
